Project,Avg Income (€),Total Opinion Points,Avg Support (€),Bubble Size
water_treatment,33500.0,3944,339.85,339.85
storage_area_reduction,33589.743589743586,3177,221.9,221.9
employee_facilities,34210.52631578947,2672,149.525,149.525
modernization,47777.77777777778,940,-9.875,9.875
battery_recycling,33225.8064516129,2142,103.575,103.575
second_production_hall,36666.666666666664,631,-20.225,20.225
new_infrastructure,30000.0,628,-12.675,12.675
battery_capacity_increase,36666.666666666664,1511,-30.85,30.85
production_capacity_doubling,40000.0,448,-7.6,7.6
portfolio_reduction,53333.333333333336,665,-16.325,16.325
